s111,s112,s123,euclidean
0.36,0.0,0.64,0.15289731807622942
0.36,0.04,0.6,0.13372531376728944
0.36,0.08,0.56,0.2097057056620903
0.36,0.12,0.52,0.10316414951767236
0.36,0.16,0.48,0.08981282189997065
0.36,0.2,0.44,0.06476389119702447
0.36,0.24,0.4,0.054831574566366996
0.36,0.28,0.36,0.03809791430748619
0.36,0.32,0.32,0.02096421672240103
0.36,0.36,0.28,0.005325070081507259
0.36,0.4,0.24,0.00031761015520285124
0.36,0.44,0.2,0.0012017380101627827
0.36,0.48,0.16,0.010621379382359722
0.36,0.52,0.12,0.025080069935872418
0.36,0.56,0.08,0.04104357025242054
0.36,0.6,0.04,0.05774429300452267
0.36,0.64,0.0,0.07398417586318898
0.4,0.0,0.6,0.14971947860072127
0.4,0.04,0.56,0.1332998321977795
0.4,0.08,0.52,0.11712901649130576
0.4,0.12,0.48,0.10363688675261007
0.4,0.16,0.44,0.08675203657456446
0.4,0.2,0.4,0.06993314023995337
0.4,0.24,0.36,0.053946219679443755
0.4,0.28,0.32,0.02981096555069094
0.4,0.32,0.28,0.023702789189968033
0.4,0.36,0.24,0.013587576374878993
0.4,0.4,0.2,0.01384435507915545
0.4,0.44,0.16,0.02350594100883003
0.4,0.48,0.12,0.03628203832935555
0.4,0.52,0.08,0.0506784595198799
0.4,0.56,0.04,0.0660213513346005
0.4,0.6,0.0,0.0819200565611902
0.44,0.0,0.56,0.1481170222445928
0.44,0.04,0.52,0.13254721853637114
0.44,0.08,0.48,0.12717690354215858
0.44,0.12,0.44,0.10255631727558912
0.44,0.16,0.4,0.07630805810193
0.44,0.2,0.36,0.07172114708558425
0.44,0.24,0.32,0.05780112422991414
0.44,0.28,0.28,0.04206824366322395
0.44,0.32,0.24,0.04197887042454918
0.44,0.36,0.2,0.03679138539353939
0.44,0.4,0.16,0.04191271697577241
0.44,0.44,0.12,0.05147587518580792
0.44,0.48,0.08,0.06356068617526613
0.44,0.52,0.04,0.07717393373409359
0.44,0.56,0.0,0.09176285091138754
0.48,0.0,0.52,0.1495550701833511
0.48,0.04,0.48,0.13823487522937697
0.48,0.08,0.44,0.12019017197042733
0.48,0.12,0.4,0.09435778097178282
0.48,0.16,0.36,0.08167851520187797
0.48,0.2,0.32,0.07166724228066434
0.48,0.24,0.28,0.06978461215817303
0.48,0.28,0.24,0.06323910067635202
0.48,0.32,0.2,0.06102574124306033
0.48,0.36,0.16,0.06352358272348117
0.48,0.4,0.12,0.07012866938729778
0.48,0.44,0.08,0.0796938623689709
0.48,0.48,0.04,0.09128488956590987
0.48,0.52,0.0,0.10424221822502956
